,filename,Article_ID,#1,Datum,Naam,Straat,Huisnummer,Plaats,Foto reguliere schap,Foto schapkaart,Prijs
0,SmartPRICE meting - Prijsmetingen - (zonder vervangend product) - wk 36 (1).xlsx,al_104508,HALFVOL KOFFIEMELK 464ML,2020-09-05 16:16:09.869,Aldi,Burg. Magneestraat,57,Bergeijk,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10186390/04b55e221fde29ca24144ea773679143.jpg,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10186401/0123d49494ca2881bbb29a01baaf9f4a.jpg,"0,67"
1,SmartPRICE meting - Prijsmetingen - (zonder vervangend product) - wk 36 (1).xlsx,al_104508,HALFVOL KOFFIEMELK 464ML,2020-09-05 18:25:58.474,Aldi,Admiraalsplein,68,Dordrecht,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10187228/26ea29283c6285baa5e4ca991a1ac253.jpg,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10187229/bc1051a79b0b4bd68332eb49b8980b2f.jpg,0.67
2,SmartPRICE meting - Prijsmetingen - (zonder vervangend product) - wk 36 (1).xlsx,al_105649,KRISTALSUIKER 1KG,2020-09-05 16:16:09.869,Aldi,Burg. Magneestraat,57,Bergeijk,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10186384/5da69565838afa7878f4033b0a6dadd1.jpg,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10186395/c2810191932b7099843ff41a012b71d0.jpg,"0,75"
3,SmartPRICE meting - Prijsmetingen - (zonder vervangend product) - wk 36 (1).xlsx,al_105649,KRISTALSUIKER 1KG,2020-09-05 18:25:58.474,Aldi,Admiraalsplein,68,Dordrecht,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10187230/3f1bc1fa6e8672a01b872c3d90f479dc.jpg,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10187231/802d824f3e200ca64318e46aa8fd9b9e.jpg,0.75
4,SmartPRICE meting - Prijsmetingen - (zonder vervangend product) - wk 36 (1).xlsx,al_107259,NUTELLA 750G,2020-09-05 16:16:09.869,Aldi,Burg. Magneestraat,57,Bergeijk,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10186415/fd6f6ed37d45e6da02cae89a327f125c.jpg,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10186387/c0be5d1bb95e07838e8a013182147c51.jpg,"5,70"
5,SmartPRICE meting - Prijsmetingen - (zonder vervangend product) - wk 36 (1).xlsx,al_107259,NUTELLA 750G,2020-09-05 18:25:58.474,Aldi,Admiraalsplein,68,Dordrecht,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10187232/cd245dda2528614308749c553ab6046b.jpg,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10187233/66567fee5beefceb86793fdc3a3f6e3e.jpg,5.45
6,SmartPRICE meting - Prijsmetingen - (zonder vervangend product) - wk 36 (1).xlsx,al_115892,MACARONI 1KG,2020-09-05 16:16:09.869,Aldi,Burg. Magneestraat,57,Bergeijk,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10186407/6b20a9df35b215532b1fd9e724508271.jpg,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10186418/84cf1cff6464650999c009f3d7c87637.jpg,"0,98"
7,SmartPRICE meting - Prijsmetingen - (zonder vervangend product) - wk 36 (1).xlsx,al_115892,MACARONI 1KG,2020-09-05 18:25:58.474,Aldi,Admiraalsplein,68,Dordrecht,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10187234/0ccfc39798287706efc469d3a342094f.jpg,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10187235/cd88abf44cf3795d779e748e8b44dfb4.jpg,0.98
8,SmartPRICE meting - Prijsmetingen - (zonder vervangend product) - wk 36 (1).xlsx,al_119995,APPELMOES 720G,2020-09-05 16:16:09.869,Aldi,Burg. Magneestraat,57,Bergeijk,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10186398/b8cba9a74924502bfb38ab237ac8384e.jpg,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10186411/98a26f56a941bbaa2b5f9923224acb27.jpg,"0,69"
9,SmartPRICE meting - Prijsmetingen - (zonder vervangend product) - wk 36 (1).xlsx,al_119995,APPELMOES 720G,2020-09-05 18:25:58.474,Aldi,Admiraalsplein,68,Dordrecht,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10187236/f4f554c325a1d4e184205b37183509ea.jpg,https://smartspotter-images.s3.amazonaws.com/uploads/photo_upload/2020-09/10187237/2fb01308ce0fde73a56ac3ad5e353228.jpg,0.69
